,Academic Courses,Learning Outcomes,Undergraduate Program,Graduate Program,Immersive Experience,Sustainability Literacy Assessment,Incentives for Developing Courses,Campus as a Living Laboratory,Research and Scholarship,Support for Sustainability Research,Open Access to Research,Student Educators Program,Student Orientation,Student Life,Outreach Materials and Publications,Outreach Campaign,Assessing Sustainability Culture,Employee Educators Program,Employee Orientation,Staff Professional Development and Training,Community Partnerships,Inter-Campus Collaboration,Continuing Education,Community Service,Participation in Public Policy,Trademark Licensing,Emissions Inventory and Disclosure,Greenhouse Gas Emissions,Building Design and Construction,Building Operations and Maintenance,Building Energy Efficiency,Clean and Renewable Energy,Food and Beverage Purchasing,Sustainable Dining,Landscape Management,Biodiversity,Sustainable Procurement,Electronics Purchasing,Cleaning and Janitorial Purchasing,Office Paper Purchasing,Campus Fleet,Commute Modal Split,Support for Sustainable Transportation,Waste Minimization and Diversion,Construction and Demolition Waste Diversion,Hazardous Waste Management,Water Use,Rainwater Management,Sustainability Coordination,Sustainability Planning,Inclusive and Participatory Governance,Reporting Assurance,Diversity and Equity Coordination,Assessing Diversity and Equity,Support for Underrepresented Groups,Affordability and Access,Committee on Investor Responsibility,Sustainable Investment,Investment Disclosure,Employee Compensation,Assessing Employee Satisfaction,Wellness Program,Workplace Health and Safety,Bicycle Friendly University,Carbon Mitigation Project Development,Community Garden,External Reporting Assurance,Fair Trade Campus,Food Bank,Green Athletics,Green Event Certification,Green Laboratory Program,Grounds Certification,Network for Student Social Innovation,Online Sustainability Course,Serving Underrepresented Students,Sustainability Projects Fund,Voter Education and Support,Innovation A,Innovation B,Innovation C,Link,Support for Research,Staff Professional Development,Outdoor Air Quality,Building Energy Consumption,Student Commute Modal Split,Employee Commute Modal Split,Participatory Governance,Pre-Submission Review,Sustainability Course Designation,Innovation D,Green Laboratories,Sustainable Dining Certification,Single-Use Plastic Ban,Certified Green Cleaning,Dining Services Certification,Diversity and Equity Recognition,Textbook Affordability,Zero Waste Certification,Wellbeing Certification,Natural Wastewater Systems,Campus Pride Index,Nitrogen Footprint,Adjunct Faculty Compensation,Pest Management Certification,Serving Underrepresented Groups,Social Enterprise,Spend Analysis,Stakeholder Engagement Standard,Stormwater Modeling,Student Living Wage,Sustainability Office Diversity Program,Water Balance,Work College,Full-Time Faculty Employment,Sanctuary Institution,Anchor Institution Network,Pay Scale Equity,NSSE Sustainability Education Consortium,Community Stakeholder Engagement,Hospital Network,Center for Sustainability Across the Curriculum,Academy-Industry Connections,Green Cleaning Certification,Fleet Certification,Laboratory Animal Welfare,Energy System Certification,Campus Water Balance,Health and Safety Management Certification,sum
Totals,14,8,3,3,2,4,2,4,12,4,2,4,2,2,2,4,1,3,1,2,3,3,5,5,2,2,3,8,3,5,6,4,6,2,2,1,3,1,1,1,1,5,1,8,1,1,6,2,1,4,3,1,2,1,3,4,2,4,1,3,1,1,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,4,2,1,6,2,2,3,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.5,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,251
university of california irvine ca,14,8,3,3,2,2,2,4,12,4,2,3.78,2,2,2,4,1,2.73,1,1.25,3,3,5,3.72,2,2,2.42,4.7,3,2.05,4.4,0.73,1.64,2,1,2,3,1,0.81,0.28,0.49,3.81,1,5.43,0.83,1,5.55,2,1,4,3,1,2,1,3,3,2,3.19,1,1.98,1,1,1.61,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,https://reports.aashe.org/institutions/university-of-california-irvine-ca/report/2021-08-11/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.4
arizona state university az,11.98,7.33,3,3,2,4,2,4,12,4,1.33,2.62,2,2,2,4,1,3,1,1.25,3,3,4.93,3.61,2,2,3,8,2.67,2,4.53,2.04,1.9,2,1,0,3,0.8,0.85,0.8,0.45,3.41,1,5.3,0.83,1,5.01,2,1,3,2.13,1,1.56,0.75,3,2.52,2,4,0.5,0.53,0.21,1,1.86,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/arizona-state-university-az/report/2020-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.95
stanford university ca,12.2,8,3,3,2,4,2,4,12,0,1,4,2,2,2,4,1,3,1,0,3,3,5,3.85,2,2,0,8.02,1.5,2.23,0,2.23,1.67,2,1,2,3,0.97,0.51,0.23,0.44,0,2,4.02,0.73,1,6,2,1,4,0,0,2,1,3,3.87,1,1.33,0,3,1,1,1.07,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/stanford-university-ca/report/2019-02-22/,4,1.5,1,5.14,1.76,1.01,2.25,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.03
colorado state university co,14,8,3,3,2,4,2,4,12,0,2,4,2,2,2,4,1,3,1,0,3,3,5,4.31,2,2,0,6.06,2,2.03,0,0.54,0.42,2,1.66,2,3,1,0.92,0.29,0.1,0,2,5.17,0.82,1,5.8,2,1,4,0,0,2,1,3,2.98,2,2.53,0.37,1.9,1,1,1.82,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/colorado-state-university-co/report/2019-12-06/,4,1.75,1,3.6,1.38,0.6,2.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.8
university of california berkeley ca,13.94,6.37,3,3,2,2,2,4,11.12,4,2,4,2,2,2,4,1,2.17,1,1.25,3,3,5,2.78,2,2,2.46,4.13,2.49,2,2.89,0.08,1.79,2,1.95,2,3,0.52,0.61,0.6,0.13,4.28,1,5.29,0.98,1,3.82,2,1,4,2.5,1,2,1,3,3,2,3.19,1,2.3,1,1,1.58,0.25,0,0.5,0,0.5,0.5,0.25,0.25,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/university-of-california-berkeley-ca/report/2021-03-04/,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.97
thompson rivers university bc,14,5.7,3,3,2,4,2,4,12,0,0,4,2,2,2,4,1,2.85,1,0,3,3,4.84,3.43,2,2,0,9.58,0,2,0,4,0.95,2,1.38,2,2.75,0.61,1,0.78,0.28,0,2,6.83,0.93,1,2.31,1,1,4,0,0,1.89,1,3,3.65,0,1,1,1.35,1,1,1.47,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/thompson-rivers-university-bc/report/2018-05-31/,4,2,1,4.35,1.72,1.28,3,0.5,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.43
university of connecticut ct,13.14,8,3,3,2,4,2,4,12,0,2,4,2,2,2,4,1,3,1,0,3,3,5,5,2,2,0,5.43,2.09,1.52,0,0.07,3.65,2,1,2,3,0.62,0.77,0.41,0.13,0,2,4,0.84,1,5,2,1,4,0,0,2,1,3,3.03,0.5,1.27,0,1.47,1,1,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/university-of-connecticut-ct/report/2020-03-06/,4,2,1,3.73,1.46,0.95,2.75,0,0,1,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.16
cornell university ny,12.44,7.37,3,3,2,4,2,4,12,4,2,4,2,2,2,4,1,2.86,1,2,3,3,5,4.23,2,2,2.83,5.15,2.7,1.77,3.98,0.81,1.04,2,1.21,2,3,0.8,0.18,0.2,0.05,3.33,1,4.18,0.5,1,5,1,1,4,2.63,1,1.89,1,3,3,2,2.69,0,0.98,1,0.75,0.91,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/cornell-university-ny/report/2021-03-04/,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.48
universite de sherbrooke qc,12.58,5.53,3,3,2,2,2,4,12,0,2,4,2,2,2,4,0.25,3,1,0,3,3,5,2.93,2,2,0,8.59,1.25,1.92,0,0.02,1.76,2,1.97,2,2.5,0.97,0.95,1,0.47,0,2,7.05,0.9,1,4,2,1,4,0,0,1.56,0.75,3,1,2,1.33,0.86,3,0,1,0.99,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/universite-de-sherbrooke-qc/report/2019-12-06/,4,1.5,1,4.53,1.4,1.22,3,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.28
university of new hampshire nh,13.52,8,3,3,2,4,2,4,12,4,2,4,2,2,2,4,1,3,1,1.5,3,3,5,3.66,2,2,3,6.24,1.25,2,4.3,2.61,1.42,2,1.34,2,3,0.63,0.49,0.43,0.24,3.59,0.8,3.15,0,0.75,1.92,2,1,4,1.75,1,1.67,1,3,2.43,2,3,1,1.06,1,1,0.25,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/university-of-new-hampshire-nh/report/2021-08-16/,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.25
state university of new york college of environmental science and forestry ny,14,8,3,3,2,4,2,4,12,4,1.33,2.58,2,2,2,4,1,1.71,1,2,3,3,5,4.4,2,2,2.08,8,0.41,1.32,3.86,0.24,1.17,1.8,1.44,2,3,0.5,0.7,0.82,0.23,2.84,1,4.34,0.67,1,5,2,1,4,2.63,1,1.67,1,3,2.79,2,0.81,1,1.56,0.5,1,1.55,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/state-university-of-new-york-college-of-environmental-science-and-forestry-ny/report/2021-03-05/,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.95
university of california merced ca,14,7.53,3,3,2,0,2,4,12,0,2,4,2,2,2,4,0,3,1,0,3,3,5,1.95,2,2,0,6.2,2.54,2.63,0,1.4,1.11,1.63,1.87,2,3,0.99,0.7,0.58,0.47,0,2,6.09,0.84,0.5,2.79,2,1,4,0,0,1.33,1,2.92,3.52,2,2.44,0.75,2.06,0.37,1,0.68,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/university-of-california-merced-ca/report/2019-03-01/,4,1.25,1,3.94,0.92,0.44,2.75,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,168.69
universite laval qc,9.46,7.59,3,3,2,4,2,4,12,0,2,4,2,2,2,4,0.5,2.98,1,0,3,3,5,3.08,2,0,0,9.5,1.25,2,0,0.15,0.21,2,1.35,2,2.5,0.8,0.93,0.68,0.45,0,2,5.93,1,1,4,2,1,4,0,0,1.56,1,3,3.6,2,1.33,0,3,1,1,1.26,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/universite-laval-qc/report/2019-12-12/,4,1.25,1,3.83,1.71,0.88,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.78
chatham university pa,13.08,5.98,3,3,2,4,2,4,11.68,0,0,4,2,2,2,4,1,2.88,1,0,3,3,3,4.79,2,0,0,5.54,3,2,0,2.73,1.85,2,2,1,2.5,0.87,0.5,0.77,0.31,0,2,2.5,0,1,4,2,1,4,0,0,2,1,2,2.85,2,2.55,1,1.05,1,1,0.91,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/chatham-university-pa/report/2018-11-26/,4,1.25,1,2.43,0.96,0.42,1.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,159.9
university of calgary ab,9.77,8,3,3,2,4,2,4,12,0,2,4,2,2,2,4,1,3,1,0,3,3,5,3.3,2,2,0,4.56,2.01,2,0,0,0.55,2,1,2,3,1,0.98,0.41,0.02,0,2,5.12,0.69,1,4.81,2,1,4,0,0,1.33,1,3,1.99,0,1.18,0,0.99,0.82,1,0.57,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/university-of-calgary-ab/report/2018-12-13/,4,1.5,1,3.2,1.54,1.08,3,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.42
colby college me,14,4.26,3,0,2,4,2,4,11.33,0,0,4,2,2,2,4,1,3,1,0,3,3,0,4.15,2,2,0,10,2.54,1.5,0,3,1.85,2,1.03,2,2.5,0.87,0.95,1,0.1,0,2,3.22,0.76,1,2.66,2,1,4,0,0,2,1,2,3.88,0,0.34,0.22,1.79,1,1,1.64,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/colby-college-me/report/2018-11-05/,4,1.75,1,3.22,1.95,0.35,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.86
university of victoria bc,12.93,4.77,3,3,2,0,2,4,11.91,4,1.33,3.9,2,2,2,4,0.25,2.81,1,1.75,3,3,5,3.18,2,1,2.15,8,2.5,0.94,4.08,0,0.64,2,1.95,1,3,0.83,0.98,0.5,0.52,4.26,0.8,4.67,0.98,1,0.83,2,1,4,3,1,1.89,0.75,3,2.13,1,2.33,1,1.16,0.75,0.75,0.64,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0,https://reports.aashe.org/institutions/university-of-victoria-bc/report/2020-05-05/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.86
santa clara university ca,14,4.44,3,3,2,2,2,4,12,4,2,2.14,1.68,2,2,4,0.5,2.32,1,1.5,3,2.5,5,4.22,2,2,2.4,5.86,1.25,2,3.88,1.54,2.11,2,1,1,2.25,0.79,0.91,0.4,0.54,3.27,0.8,3.29,0.97,1,1.67,2,1,3,1.88,1,1.56,1,3,3,0.5,1.66,0,2.4,1,1,1.18,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,https://reports.aashe.org/institutions/santa-clara-university-ca/report/2020-02-27/,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,156.91
university of california santa barbara ca,6.06,1.05,3,3,2,2,2,4,11.85,3,2,2.81,1.98,2,2,4,1,0.14,1,1.25,3,3,3.62,3.96,2,2,2.25,5.1,2.7,2.06,4.27,0.19,2.44,2,1,2,2.5,0.69,0.63,0.83,0.18,4.09,1,5.81,0.8,1,5.77,2,1,4,2.5,1,1.67,0.75,2.92,3,2,3.19,1,2.36,0.61,1,1.24,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0,https://reports.aashe.org/institutions/university-of-california-santa-barbara-ca/report/2021-03-04/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,156.02
green mountain college vt,14,8,3,3,2,4,2,4,12,0,2,2.59,2,2,2,4,1,3,1,0,3,3,0,3.4,2,0,0,10,0,0.49,0,3.02,0.62,2,1.07,2,2.5,0.04,0.9,0.45,0.18,0,1.8,2.73,0.24,1,1.2,1,1,4,0,0,1.56,0.88,1.33,2.71,2,3.51,0.48,0,1,1,1.52,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/green-mountain-college-vt/report/2018-02-23/,4,1.5,1,4.01,1.91,0.84,2.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.98
loyola marymount university ca,6.74,6.18,3,3,2,4,2,4,8.29,4,1.33,3.56,2,2,2,4,1,3,1,1.75,3,3,3.86,2.41,2,2,1.46,5.71,2,2,4.35,0.53,0.7,2,1.21,2,2,0.95,0.61,0.71,0.86,2.32,1,2.71,0.8,1,6,2,1,4,2.13,0,1.67,1,2.92,2.07,2,0.76,0,2,0.6,0.75,1.56,0,0,0.5,0,0.5,0.5,0.25,0.25,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0,https://reports.aashe.org/institutions/loyola-marymount-university-ca/report/2021-03-05/,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.25,0,0.5,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
university of massachusetts lowell ma,13.64,4.94,3,3,2,4,2,4,12,0,0,4,2,2,2,4,1,3,1,0,3,3,1.58,4.55,2,2,0,6.63,1.44,1.95,0,0,0.36,2,1,2,2.5,0.84,0.75,0.28,0.16,0,2,5.92,0.89,1,0,2,1,3.5,0,0,2,1,2,2.75,2,1.01,0,2.41,1,1,1.89,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/university-of-massachusetts-lowell-ma/report/2019-02-15/,4,1,1,3.16,0.7,0.25,2.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.1
keene state college nh,14,8,3,3,2,4,0,4,12,4,2,4,1.9,2,2,4,1,2.74,1,1.5,3,2.5,5,1.99,2,1,1.73,5.9,1.25,1.12,2.2,1.61,1.19,2,1.99,2,3,1,0.9,1,0.25,3.28,0.6,3.8,0,0.5,0.47,1,1,4,2,0,1.67,1,2,2.11,0,2.82,0,1.14,1,0.75,0.98,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/keene-state-college-nh/report/2021-03-04/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,152.89
university of california santa cruz ca,12.43,2.51,3,3,2,2,2,4,12,0,2,3.59,2,2,2,4,0.5,0.72,1,0,3,3,4.18,0.42,2,2,0,5.21,2.12,2,0,0.21,0,2,1.02,2,2.5,0.94,0.63,0.86,0.15,0,2,3.72,0.91,1,5.15,2,1,4,0,0,1.33,0.5,3,3.22,2,2.44,0.75,1.02,1,1,0.55,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/university-of-california-santa-cruz-ca/report/2019-03-01/,4,1.5,1,3.94,1.62,0.96,2.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,152.35
seattle university wa,14,7.26,3,3,2,4,2,4,11.39,3,0.67,2.38,2,2,2,4,0.5,0,1,1.25,3,3,0,3.91,2,2,2.69,5.07,2.1,2,3.77,0,1.6,1.8,1.94,2,3,0.81,0.89,0.77,0.32,4.03,0.4,3.29,0.96,1,1.58,2,1,4,1.88,1,1.33,0,3,2.69,2,0.51,0,2.16,0.8,1,1.02,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/seattle-university-wa/report/2021-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,152.27
mcgill university qc,13.25,1.67,3,3,2,1,2,4,11.73,4,1.33,2.62,2,2,2,4,1,1.88,1,1.25,3,3,5,1.05,2,1,2.46,5.64,0.11,0,3.4,0,1.1,1.75,2,2,3,0.96,0.67,1,0.06,4.57,1,3.76,0,1,2.87,2,1,4,2.75,1,2,1,3,3,2,2.69,0.62,2.44,0.45,0.75,1.6,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0.5,https://reports.aashe.org/institutions/mcgill-university-qc/report/2020-12-11/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,151.93
university of washington seattle wa,12.15,2.14,3,3,2,4,2,4,8.03,0,2,4,1.44,2,2,4,1,3,1,0,3,3,2.35,1.23,2,2,0,6.09,2.08,1.5,0,0.07,2.89,2,1.17,2,2.5,0.89,0.93,0.91,0.97,0,2,4.55,0.92,0.5,3.33,2,1,3.75,0,0,2,1,2,3.42,0,3.05,0.33,1.92,1,1,1.22,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,1,0,0,https://reports.aashe.org/institutions/university-of-washington-seattle-wa/report/2018-10-12/,4,0,1,3.84,1.89,1.27,2.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,151.83
emory university ga,8.65,8,3,3,2,4,2,4,7.19,4,2,4,2,2,2,4,1,3,1,1.5,3,3,3,3.12,2,2,2.46,4.43,1.73,0.28,4.9,0,3.26,2,1.73,2,3,1,0.64,0.73,0.33,2.01,1,3.89,0.64,1,3.79,1,1,3,1.88,1,1.89,0.75,3,3,0,2.14,0,0.52,1,1,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0,https://reports.aashe.org/institutions/emory-university-ga/report/2021-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.96
university of massachusetts amherst ma,8.39,4.19,3,3,2,4,2,4,12,4,2,2.16,1.73,2,2,4,1,2.96,1,1.25,3,2.5,5,2.39,2,2,2.21,4.13,1.81,0.84,4.48,0,2.19,2,1.79,1,2.25,0.77,0.95,0.19,0.16,3.25,1,2.99,0.85,1,3.59,2,1,2.5,1.63,1,1.78,1,3,2.92,2,1.35,0,2.01,1,1,1.37,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,https://reports.aashe.org/institutions/university-of-massachusetts-amherst-ma/report/2020-03-06/,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.58
dickinson college pa,11.46,8,3,0,2,4,2,4,12,4,1.33,4,2,2,2,4,1,1.88,1,1.75,3,3,0,2.97,2,2,3,8,2.04,1.6,3.75,1.77,1.31,2,1.43,1,2.5,0.94,0.23,0.44,0.03,3.86,1,3.3,0.59,0.5,1.09,2,1,4,1.88,1,1.67,0.25,3,3,0,1.61,0,0,0,0.75,0.96,0.25,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,https://reports.aashe.org/institutions/dickinson-college-pa/report/2021-03-05/,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,150.39
furman university sc,12.8,6.63,3,0,2,4,2,4,12,4,1.33,3.69,2,2,2,4,1,3,1,2,3,3,5,3.38,2,0,1.67,3.71,1.25,0.99,3.78,0.01,1.57,2,1,2,2.5,0.87,0.7,0.44,0.59,2.94,0.6,1.89,0,1,4.53,2,1,3,1.13,1,2,1,2,3,2,1.04,0,0.45,1,0.75,1.07,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0.5,https://reports.aashe.org/institutions/furman-university-sc/report/2021-06-22/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,150.31
university of california davis ca,9.03,3.62,3,3,2,1,2,4,10.51,4,2,2.45,1.14,2,2,4,0.5,0.42,1,1.25,3,3,3,1.72,2,2,1.42,5.67,2.6,2.09,5.1,1.39,1.45,2,0.94,2,2.5,0.7,0.83,0.5,0.61,3.46,1,2.84,0.88,1,3.86,2,1,3,2.5,1,1.33,1,3,3,2,2.85,0.75,1.54,0.23,1,0.77,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0,0.5,0,0,https://reports.aashe.org/institutions/university-of-california-davis-ca/report/2020-03-06/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.25,0,0,0,0.25,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,150.2
