,Academic Courses,Learning Outcomes,Undergraduate Program,Graduate Program,Immersive Experience,Sustainability Literacy Assessment,Incentives for Developing Courses,Campus as a Living Laboratory,Research and Scholarship,Support for Sustainability Research,Open Access to Research,Student Educators Program,Student Orientation,Student Life,Outreach Materials and Publications,Outreach Campaign,Assessing Sustainability Culture,Employee Educators Program,Employee Orientation,Staff Professional Development and Training,Community Partnerships,Inter-Campus Collaboration,Continuing Education,Community Service,Participation in Public Policy,Trademark Licensing,Emissions Inventory and Disclosure,Greenhouse Gas Emissions,Building Design and Construction,Building Operations and Maintenance,Building Energy Efficiency,Clean and Renewable Energy,Food and Beverage Purchasing,Sustainable Dining,Landscape Management,Biodiversity,Sustainable Procurement,Electronics Purchasing,Cleaning and Janitorial Purchasing,Office Paper Purchasing,Campus Fleet,Commute Modal Split,Support for Sustainable Transportation,Waste Minimization and Diversion,Construction and Demolition Waste Diversion,Hazardous Waste Management,Water Use,Rainwater Management,Sustainability Coordination,Sustainability Planning,Inclusive and Participatory Governance,Reporting Assurance,Diversity and Equity Coordination,Assessing Diversity and Equity,Support for Underrepresented Groups,Affordability and Access,Committee on Investor Responsibility,Sustainable Investment,Investment Disclosure,Employee Compensation,Assessing Employee Satisfaction,Wellness Program,Workplace Health and Safety,Bicycle Friendly University,Carbon Mitigation Project Development,Community Garden,External Reporting Assurance,Fair Trade Campus,Food Bank,Green Athletics,Green Event Certification,Green Laboratory Program,Grounds Certification,Network for Student Social Innovation,Online Sustainability Course,Serving Underrepresented Students,Sustainability Projects Fund,Voter Education and Support,Innovation A,Innovation B,Innovation C,Link,Support for Research,Staff Professional Development,Outdoor Air Quality,Building Energy Consumption,Student Commute Modal Split,Employee Commute Modal Split,Participatory Governance,Pre-Submission Review,Sustainability Course Designation,Innovation D,Green Laboratories,Sustainable Dining Certification,Single-Use Plastic Ban,Certified Green Cleaning,Dining Services Certification,Diversity and Equity Recognition,Textbook Affordability,Zero Waste Certification,Wellbeing Certification,Natural Wastewater Systems,Campus Pride Index,Nitrogen Footprint,Adjunct Faculty Compensation,Pest Management Certification,Serving Underrepresented Groups,Social Enterprise,Spend Analysis,Stakeholder Engagement Standard,Stormwater Modeling,Student Living Wage,Sustainability Office Diversity Program,Water Balance,Work College,Full-Time Faculty Employment,Sanctuary Institution,Anchor Institution Network,Pay Scale Equity,NSSE Sustainability Education Consortium,Community Stakeholder Engagement,Hospital Network,Center for Sustainability Across the Curriculum,Academy-Industry Connections,Green Cleaning Certification,Fleet Certification,Laboratory Animal Welfare,Energy System Certification,Campus Water Balance,Health and Safety Management Certification,sum
lane community college or,4.58,2.02,3,0,2,0,0,4,0,0,0,2.23,2,2,1.6,4,0,0,1,1.25,3,2,5,0.03,2,0,1.9,5.99,1.87,1,4.78,0.32,0,1.43,1.98,2,2,0,0.92,0.4,0.23,2.47,1,3.68,0.52,1,1.44,2,1,4,2.25,1,1.78,1,2,2.39,0,0,0.87,0,0,0.75,1.45,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,https://reports.aashe.org/institutions/lane-community-college-or/report/2021-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.13
florida institute of technology fl,10.69,2.2,3,3,2,0,0,3.6,12,2,1.33,2.11,1.2,2,2,2,0,0,0.9,0,2,3,3,1.08,0,0,2.29,2.74,0.42,0.14,3.69,0,0,1.23,1.27,0,0.75,0,0.84,0.49,0.3,2.24,0.8,4.34,0.09,1,2.5,0.5,1,2.5,1.25,0,1.56,0,1.75,2.81,0.5,0,0,0.75,0.41,0.75,0.59,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,https://reports.aashe.org/institutions/florida-institute-of-technology-fl/report/2020-04-24/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.11
calvin college mi,8.73,0.8,3,0,2,2,0,4,4.02,3,0,2.79,1.88,2,2,4,0.5,0,0,0,3,2.5,5,2.58,0,0,2.19,1.89,0,0.04,3.17,0,0.78,1.8,0,2,0,0,0.76,0.09,0.07,2.97,0.4,2.43,0,1,1.28,0.5,1,4,1.88,1,1.67,1,1.92,2.66,0.5,0.25,0,2.19,1,0.75,1.12,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0,https://reports.aashe.org/institutions/calvin-college-mi/report/2020-02-26/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,100.11
northern michigan university mi,10.21,2.95,3,0,2,0,0,4,11.44,2,1.33,2.74,2,2,2,4,1,0,0,1,2,2,2.16,4.23,0.67,0,0.17,0,1.63,0,3.5,0,0,2,0.96,0,1.25,1,0.65,0,0,2.73,0.4,0,0.65,1,3.27,1,1,3,1.5,0,1.33,0,2.83,1.95,0,0,0,1.84,0.49,0.75,0.89,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,https://reports.aashe.org/institutions/northern-michigan-university-mi/report/2020-02-18/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.02
baldwin wallace university oh,8.47,0.6,3,3,2,0,0,4,11.45,0,0,4,2,2,2,4,0.5,0,0,0,3,2.5,5,1.17,0,0,0,0,2.31,0.5,0,0.08,0,1.38,1,2,0.5,0,0.88,0,0,0,0.2,4.14,1,0.75,0,2,1,0.5,0,0,2,0,3,2.24,0,0,0,0,1,1,0.68,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/baldwin-wallace-university-oh/report/2019-01-11/,3,1,0.5,3.24,0,0,1.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.84
weber state university ut,4.42,0.17,3,3,2,0,2,4,10.15,0,0,0.15,0,2,2,4,0,3,1,0,3,2.5,3,1.28,0,0,0,6.31,2.17,1,0,0.36,0.48,1.38,1,0,0,0,0.79,0,0.14,0,1.6,3.25,0,0.75,1.09,2,1,0.75,0,0,2,0.75,1.5,2.7,0,0,0,0,1,1,1.94,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/weber-state-university-ut/report/2019-02-19/,3,1.25,1,5.19,0.44,0.28,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.79
sonoma state university ca,4.91,2.26,3,0,2,1,2,4,9.2,3,1.33,1.26,1.7,2,1.6,4,0.5,2.05,1,1.25,3,2.5,0,2.28,2,0,2.19,4.12,1.25,1,2.39,0.48,0,1.6,0.02,2,2,0,0.79,0.18,0.52,0,0.4,3.56,1,1,0.38,0,1,1.5,1.63,1,1.56,0.88,3,2.48,0,0,0.5,0,0,1,0.26,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,https://reports.aashe.org/institutions/sonoma-state-university-ca/report/2021-02-18/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.53
university of kentucky ky,2.23,0,3,3,2,0,0,3.6,12,0,0,0.93,1.8,2,2,4,0,0,1,0,3,3,0,1.82,0.67,2,0,2.97,1.69,0.81,0,0,1.34,2,1.15,2,0.75,0.46,0.37,0.76,0.24,0,2,1.06,0.71,1,3.06,1,1,3.25,0,0,1.67,1,3,1,0,0.06,1,0,1,1,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,https://reports.aashe.org/institutions/university-of-kentucky-ky/report/2019-09-30/,3,0,1,3.16,1.3,0.4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,98.76
raritan valley community college nj,9.56,1.7,3,0,2,0,0,4,0,0,0,0,0,2,2,4,0,0,1,0,2,2,5,1.95,2,0,0,9.75,0.78,1.84,0,1.9,0.62,1.5,0.98,1,2,0.23,0.74,0.35,0.09,0,1.4,3.36,1,0.75,4,2,1,1.25,0,0,1.33,0.88,2,2.46,0,0,0,0.45,0,1,0.71,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/raritan-valley-community-college-nj/report/2019-07-31/,0,1.25,0.5,2.63,0.43,0.78,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,98.67
duquesne university pa,7.51,2.02,3,3,2,0,2,4,8.52,4,1.33,0,0.39,2,1.6,4,0,0,1,1.25,3,2.5,0,0.99,0,2,2.56,3.52,0,0,2.77,0.43,0.89,1.8,1,0,1.25,0.73,0.82,0.08,0,1.65,0.8,4.31,0,0.5,3.32,1,1,2,1.13,0,1.33,0,1.83,2.7,0,0,0,1.85,0.28,0.75,1.24,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/duquesne-university-pa/report/2021-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.65
university of louisiana at lafayette la,14,1.31,0,0,2,0,2,3.6,9.99,1,0.67,0.57,0.8,2,1.2,4,0.25,0,1,1.25,3,2.5,0,1.1,2,1,2.06,3.17,0.4,0.86,3.54,0.06,0,1.35,1.71,0,2,0,0.83,0.01,0,1.7,0.4,2.84,0,0.5,1.27,2,1,3,1.38,0,1.44,1,2.92,1.97,0,0,0,0.23,0,1,0.42,0,0.5,0.5,0,0,0.5,0.25,0,0,0.5,0,0,0,0.5,0,0.5,0,0,https://reports.aashe.org/institutions/university-of-louisiana-at-lafayette-la/report/2021-06-22/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.55
lafayette college pa,5.83,1.97,3,0,2,0,0,4,8.59,2,1.33,2.59,2,1.75,1.6,4,0.25,0,1,0,3,2,0,2.31,0.67,0,2.21,3.29,2.33,0.05,3.16,0,2.97,1.75,1.38,0,0,1,0.31,0.32,0.07,3.7,0.4,3.82,0.75,1,0.09,0.5,1,3,1.88,0,1.33,0.88,2.42,3,0,0,0,0.51,0.54,0.75,0.98,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/lafayette-college-pa/report/2020-03-03/,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.53
western technical college wi,11.85,2.15,3,0,2,2,2,4,0,0,0,0,2,1.25,1.6,4,0.25,1.67,1,1.25,3,2,2.74,1.99,1.33,0,2.08,4.02,2.46,2,6,0.76,1.07,2,0,0,0,0.71,0.7,0.19,0.06,1.22,0.8,3.15,0.29,1,4,0.5,1,2,1.75,0,1.06,0.5,1.25,0.41,0,0,0,1,1,1,0.94,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/western-technical-college-wi/report/2020-12-22/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,98.5
north seattle community college wa,8.24,6,0,0,2,2,2,4,0,0,0,2.11,2,1.75,1.6,4,0.5,0,1,0,3,3,0,0,2,0,1.46,3.85,0,0,4.61,0,0,0,1.97,1,2.5,0.38,0.19,0.91,0.38,2.42,0.8,6.19,0,1,0.59,2,1,3,1.5,1,1.67,0.88,3,2.58,0,0,0,0.51,1,1,1.87,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,https://reports.aashe.org/institutions/north-seattle-community-college-wa/report/2021-10-30/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,98.46
university of tasmania no state,0,0,3,3,2,0,0,4,12,0,1.33,0,1.25,1.75,1.6,4,1,0,1,1.25,2,3,1,0.57,2,0,2.5,8,0.63,0.03,3.51,0.5,1.46,0.45,0,2,1.75,0.56,0,0.96,0.04,3.41,0.4,2.14,0,0,0.07,0.5,1,3,2.63,1,1.78,0.75,2,2.33,0,0.25,0,1.75,1,0.75,1.44,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/university-of-tasmania-no-state/report/2020-07-15/,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,98.34
